Energy Use (HVAC) [kWh],Energy Use (HVAC and Personal Equipment) [kWh],Occ#1 Cool Duration [mins],Occ#1 Warm Duration [mins],Occ#2 Cool Duration [mins],Occ#2 Warm Duration [mins],Occ#3 Cool Duration [mins],Occ#3 Warm Duration [mins],Occ#4 Cool Duration [mins],Occ#4 Warm Duration [mins],Occ#5 Cool Duration [mins],Occ#5 Warm Duration [mins],Occ#6 Cool Duration [mins],Occ#6 Warm Duration [mins],Occ#7 Cool Duration [mins],Occ#7 Warm Duration [mins]
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.498705,17.128955,0,42,2,17,0,3,5,39,4,5,1,0,5,0
8.06362333333333,15.5243733333333,0,59,2,10,0,1,9,33,3,6,1,0,6,0
9.60363666666667,24.2778866666667,0,50,1,28,0,1,11,29,1,8,0,0,7,0
8.04044666666666,15.0894466666667,0,54,2,32,0,0,6,37,3,6,0,0,10,0
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.498705,17.128955,0,42,2,17,0,3,5,39,4,5,1,0,5,0
8.06362333333333,15.5243733333333,0,59,2,10,0,1,9,33,3,6,1,0,6,0
9.60363666666667,24.2778866666667,0,50,1,28,0,1,11,29,1,8,0,0,7,0
8.04044666666666,15.0894466666667,0,54,2,32,0,0,6,37,3,6,0,0,10,0
8.24591833333333,15.6899183333333,0,64,2,51,0,4,10,38,3,7,0,0,2,0
8.09414166666666,16.9446416666667,0,59,1,28,0,4,12,37,4,9,0,0,13,0
8.185265,15.660265,0,66,2,4,0,2,12,36,10,9,2,0,9,0
7.76575833333333,15.6742583333333,0,79,5,27,0,5,13,37,1,6,0,0,6,0
7.338335,11.136585,0,54,1,25,0,0,9,32,6,6,1,0,7,0
8.559235,17.842985,0,49,2,26,0,2,7,28,2,7,0,0,7,0
9.20005333333333,22.6665533333333,0,57,1,20,0,3,3,38,3,12,0,0,3,0
7.58855166666667,11.5645516666667,0,53,3,25,0,4,3,43,2,10,0,0,7,0
7.939085,16.547335,0,78,2,32,0,0,10,39,5,11,0,0,8,0
8.31978166666667,18.1252816666667,0,50,2,28,0,4,7,28,7,7,0,0,9,0
9.30040166666666,23.7251516666667,0,51,2,18,0,5,8,30,8,11,0,0,7,0
8.25318833333333,15.7151883333333,0,55,3,40,0,6,11,24,4,8,0,0,12,0
8.07328333333333,14.1452833333333,0,41,0,19,0,2,8,39,4,8,0,0,4,0
7.89142,15.53567,0,79,1,28,0,3,8,29,2,6,1,0,4,0
8.287905,15.743405,0,69,3,40,0,2,10,38,6,15,0,0,10,0
8.86381666666666,19.9585666666667,0,73,3,30,0,4,12,25,8,9,0,0,9,0
8.53595166666667,15.9889516666667,0,81,0,29,0,2,9,32,5,5,1,0,6,0
8.46323333333334,18.5667333333333,0,32,0,39,0,3,10,29,5,8,0,0,10,0
8.26790166666667,15.7354016666667,0,77,2,15,0,4,12,47,1,7,0,0,5,0
8.29458166666667,16.2240816666667,0,57,3,19,0,3,12,33,6,7,0,0,9,0
8.62092166666666,19.1404216666667,0,58,0,50,0,6,11,37,3,6,0,0,6,0
7.68337333333334,12.9108733333333,0,63,2,29,0,2,7,54,6,7,0,0,5,0
8.49037666666667,17.2238766666667,0,70,1,24,0,2,12,24,5,4,0,0,9,0
8.14027333333333,16.9507733333333,0,63,2,19,0,3,12,42,5,8,0,0,11,0
8.6395,18.85825,0,80,2,30,0,3,8,20,6,8,0,0,10,0
8.27774,15.77674,0,57,3,21,0,6,10,24,3,8,1,0,8,0
8.07277000000001,16.73327,0,55,3,20,0,3,8,20,5,6,0,0,13,0
8.51745833333334,18.3939583333333,0,66,1,23,0,4,9,35,4,7,0,0,11,0
8.45984833333334,17.6163483333333,0,56,4,24,0,3,14,33,8,6,0,0,9,0
8.46031833333334,18.2985683333333,0,59,1,25,0,6,16,31,3,4,0,0,4,0
7.68592666666667,13.0111766666667,0,48,2,17,0,0,6,53,10,7,1,0,10,0
8.532865,18.381365,0,60,3,12,0,0,9,24,5,8,1,0,12,0
7.9849,16.6229,0,48,0,17,0,3,12,37,5,4,0,0,7,0
8.20292,16.77517,0,47,1,33,0,1,11,41,8,11,0,0,2,0
7.686205,13.805205,0,71,6,25,0,2,9,33,3,5,0,0,4,0
7.676165,12.937665,0,57,3,26,0,4,11,25,4,8,0,0,11,0
7.857075,15.306075,0,54,3,20,0,3,12,18,9,11,1,0,14,0
8.17030833333333,15.7415583333333,0,55,3,26,0,4,13,35,3,6,0,0,3,0
8.24763,16.40538,0,56,1,32,0,2,8,25,5,4,0,0,6,0
8.48133166666667,15.9275816666667,0,60,2,23,0,1,9,43,5,8,0,0,9,0
7.539625,11.390125,0,74,1,19,0,2,15,28,5,8,0,0,8,0
8.36549666666667,16.9109966666667,0,66,1,24,0,2,6,30,4,8,1,0,3,0
8.12317666666666,16.7301766666667,0,56,2,20,0,5,7,23,4,4,0,0,6,0
7.58728,13.11778,0,73,1,34,0,3,8,29,5,8,0,0,7,0
7.94324666666667,14.8404966666667,0,66,1,13,0,1,12,41,5,5,0,0,7,0
7.94162166666667,14.8198716666667,0,49,1,18,0,3,18,40,4,13,0,0,7,0
8.46851666666667,17.7180166666667,0,47,1,24,0,2,7,27,2,5,0,0,9,0
7.75970000000001,14.1587,0,71,5,22,0,1,13,28,8,10,1,0,13,0
8.368365,17.313115,0,73,0,23,0,3,11,32,8,11,0,0,3,0
8.94360166666667,22.3706016666667,0,51,1,36,0,1,13,38,1,14,1,0,7,0
8.94306166666667,23.0600616666667,0,52,2,20,0,3,9,28,9,7,0,0,12,0
8.49277833333333,18.2782783333333,0,52,1,26,0,3,10,26,9,11,0,0,8,0
8.37598,18.14773,0,59,3,22,0,5,10,45,8,8,0,0,10,0
8.56939166666667,17.2146416666666,0,71,1,27,0,2,7,19,2,9,0,0,9,0
8.52973666666667,18.6669866666667,0,66,1,23,0,1,11,32,2,3,0,0,9,0
7.9989,16.22965,0,72,1,21,0,2,11,32,7,12,1,0,9,0
8.48673333333334,18.8739833333333,0,60,2,23,0,1,11,28,2,10,1,0,9,0
8.2193,18.02505,0,50,0,32,0,1,11,29,2,7,0,0,12,0
8.447175,17.065425,0,50,2,16,0,2,10,38,10,7,0,0,16,0
8.20458833333334,15.6828383333333,0,65,3,27,0,6,5,23,3,10,0,0,3,0
8.78390333333333,20.5251533333333,0,50,3,17,0,1,6,26,5,12,0,0,13,0
7.61104833333333,11.8147983333333,0,65,1,33,0,1,12,27,4,9,0,0,7,0
7.62547333333333,11.6419733333333,0,56,1,20,0,3,11,44,3,6,0,0,11,0
8.32033333333333,17.3920833333333,0,54,1,17,0,1,11,43,2,4,0,0,9,0
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.498705,17.128955,0,42,2,17,0,3,5,39,4,5,1,0,5,0
8.06362333333333,15.5243733333333,0,59,2,10,0,1,9,33,3,6,1,0,6,0
9.60363666666667,24.2778866666667,0,50,1,28,0,1,11,29,1,8,0,0,7,0
8.04044666666666,15.0894466666667,0,54,2,32,0,0,6,37,3,6,0,0,10,0
8.24591833333333,15.6899183333333,0,64,2,51,0,4,10,38,3,7,0,0,2,0
8.09414166666666,16.9446416666667,0,59,1,28,0,4,12,37,4,9,0,0,13,0
8.185265,15.660265,0,66,2,4,0,2,12,36,10,9,2,0,9,0
7.76575833333333,15.6742583333333,0,79,5,27,0,5,13,37,1,6,0,0,6,0
7.338335,11.136585,0,54,1,25,0,0,9,32,6,6,1,0,7,0
8.559235,17.842985,0,49,2,26,0,2,7,28,2,7,0,0,7,0
9.20005333333333,22.6665533333333,0,57,1,20,0,3,3,38,3,12,0,0,3,0
7.58855166666667,11.5645516666667,0,53,3,25,0,4,3,43,2,10,0,0,7,0
7.939085,16.547335,0,78,2,32,0,0,10,39,5,11,0,0,8,0
8.31978166666667,18.1252816666667,0,50,2,28,0,4,7,28,7,7,0,0,9,0
9.30040166666666,23.7251516666667,0,51,2,18,0,5,8,30,8,11,0,0,7,0
8.25318833333333,15.7151883333333,0,55,3,40,0,6,11,24,4,8,0,0,12,0
8.07328333333333,14.1452833333333,0,41,0,19,0,2,8,39,4,8,0,0,4,0
7.89142,15.53567,0,79,1,28,0,3,8,29,2,6,1,0,4,0
8.287905,15.743405,0,69,3,40,0,2,10,38,6,15,0,0,10,0
8.86381666666666,19.9585666666667,0,73,3,30,0,4,12,25,8,9,0,0,9,0
8.53595166666667,15.9889516666667,0,81,0,29,0,2,9,32,5,5,1,0,6,0
8.46323333333334,18.5667333333333,0,32,0,39,0,3,10,29,5,8,0,0,10,0
8.26790166666667,15.7354016666667,0,77,2,15,0,4,12,47,1,7,0,0,5,0
8.29458166666667,16.2240816666667,0,57,3,19,0,3,12,33,6,7,0,0,9,0
8.62092166666666,19.1404216666667,0,58,0,50,0,6,11,37,3,6,0,0,6,0
8.41836833333334,20.2148683333333,0,64,3,32,0,2,7,29,8,6,0,0,16,0
8.90274166666667,21.2534916666666,0,84,2,40,0,3,11,31,6,11,1,0,12,0
8.04129000000001,14.74529,0,56,3,33,0,5,11,29,10,11,0,0,8,0
7.94419166666667,15.6716916666667,0,77,2,27,0,3,13,36,4,7,1,0,11,0
8.43365166666667,18.2341516666667,0,46,2,30,0,7,6,27,7,7,0,0,10,0
8.48789333333333,17.1486433333333,0,75,2,20,0,2,10,34,7,8,0,0,6,0
8.33938333333333,17.9158833333333,0,45,0,24,0,1,11,35,6,11,0,0,9,0
7.68629666666667,11.5560466666667,0,47,4,22,0,4,3,25,5,7,0,0,9,0
7.908665,14.522415,0,70,2,31,0,3,8,37,6,7,0,0,10,0
8.07262166666666,15.5231216666667,0,59,1,20,0,5,6,42,4,9,0,0,8,0
7.724955,12.160955,0,59,1,26,0,3,12,26,6,6,0,0,10,0
8.498705,17.128955,0,42,2,17,0,3,5,39,4,5,1,0,5,0
8.06362333333333,15.5243733333333,0,59,2,10,0,1,9,33,3,6,1,0,6,0
9.60363666666667,24.2778866666667,0,50,1,28,0,1,11,29,1,8,0,0,7,0
8.04044666666666,15.0894466666667,0,54,2,32,0,0,6,37,3,6,0,0,10,0
8.24591833333333,15.6899183333333,0,64,2,51,0,4,10,38,3,7,0,0,2,0
8.09414166666666,16.9446416666667,0,59,1,28,0,4,12,37,4,9,0,0,13,0
8.185265,15.660265,0,66,2,4,0,2,12,36,10,9,2,0,9,0
7.76575833333333,15.6742583333333,0,79,5,27,0,5,13,37,1,6,0,0,6,0
7.338335,11.136585,0,54,1,25,0,0,9,32,6,6,1,0,7,0
8.559235,17.842985,0,49,2,26,0,2,7,28,2,7,0,0,7,0
9.20005333333333,22.6665533333333,0,57,1,20,0,3,3,38,3,12,0,0,3,0
7.58855166666667,11.5645516666667,0,53,3,25,0,4,3,43,2,10,0,0,7,0
7.939085,16.547335,0,78,2,32,0,0,10,39,5,11,0,0,8,0
8.31978166666667,18.1252816666667,0,50,2,28,0,4,7,28,7,7,0,0,9,0
9.30040166666666,23.7251516666667,0,51,2,18,0,5,8,30,8,11,0,0,7,0
8.25318833333333,15.7151883333333,0,55,3,40,0,6,11,24,4,8,0,0,12,0
8.07328333333333,14.1452833333333,0,41,0,19,0,2,8,39,4,8,0,0,4,0
