Peak Energy Use (HVAC) [kWh],Peak Energy Use (HVAC and Personal Equipment) [kWh],FF (HVAC) [kWh],FF (HVAC and Personal Equipment) [kWh],Cost (HVAC) [kWh],Cost (HVAC and Personal Equipment) [kWh],Peak Occ#1 Cool Duration [mins],Peak Occ#1 Warm Duration [mins],Peak Occ#2 Cool Duration [mins],Peak Occ#2 Warm Duration [mins],Peak Occ#3 Cool Duration [mins],Peak Occ#3 Warm Duration [mins],Peak Occ#4 Cool Duration [mins],Peak Occ#4 Warm Duration [mins],Peak Occ#5 Cool Duration [mins],Peak Occ#5 Warm Duration [mins],Peak Occ#6 Cool Duration [mins],Peak Occ#6 Warm Duration [mins],Peak Occ#7 Cool Duration [mins],Peak Occ#7 Warm Duration [mins],Peak Occ#8 Cool Duration [mins],Peak Occ#8 Warm Duration [mins],Peak Occ#9 Cool Duration [mins],Peak Occ#9 Warm Duration [mins],Peak Occ#10 Cool Duration [mins],Peak Occ#10 Warm Duration [mins],Peak Occ#11 Cool Duration [mins],Peak Occ#11 Warm Duration [mins]
8.38729,19.39079,0.0323891913676383,0.00865922276817743,2.08737258945,4.75423475894995,0,51,4,32,0,2,9,21,9,8,0,0,26,0,0,13,4,5,1,0,24,0
7.60023833333333,12.6184883333333,0.0979327482476512,0.238800317385502,1.97669929,3.66833650899999,0,58,2,32,0,0,8,32,7,7,1,0,20,0,0,7,3,8,0,0,9,0
8.04675666666667,14.7440066666667,0.0895914577932869,0.232592459450531,2.08062993842,4.26285650192005,0,44,3,33,0,3,7,33,8,10,0,0,13,0,0,12,2,3,1,0,6,0
7.39925166666667,12.4330016666667,0.127481463247582,0.319823723877537,1.96589736569,3.90488456069,0,62,3,16,0,2,13,40,4,9,1,0,17,0,0,18,6,6,0,0,13,0
8.52461666666667,18.3343666666667,0.0521282484599403,0.159482108178183,2.14893924554,4.99067075653995,0,36,3,18,0,7,4,32,2,8,0,0,12,0,0,12,5,8,1,0,13,0
8.60799666666667,17.8482466666667,0.0507740858725585,0.175702970832028,2.16802405238,4.92073170937996,0,66,2,21,0,2,8,40,5,12,0,0,13,0,0,9,8,6,0,0,15,0
7.69228666666666,14.5242866666667,0.0801619581663878,0.185774087975474,1.97604448352,4.03685871751999,0,43,0,27,0,0,9,27,7,9,0,0,15,0,0,8,6,5,0,0,19,0
7.50571,11.35121,0.0933416440853988,0.283317941043558,1.94582381943,3.43821277293,0,39,4,15,0,2,3,32,6,9,0,0,15,0,0,7,9,11,0,0,14,0
8.12304666666666,15.7740466666667,0.075447055335328,0.216329549324582,2.07997756574,4.49698425973995,0,52,2,28,0,3,11,34,6,8,1,0,16,0,0,14,4,4,0,0,18,0
8.06660833333333,15.5256083333333,0.0541089734926781,0.0926826579100096,2.03614209643,4.02309203443002,0,44,1,20,0,3,4,46,4,7,0,0,12,0,0,13,3,3,0,0,15,0
8.14675833333333,16.3187583333333,0.0545784299892549,0.077244568162223,2.05701173377,4.18369471477006,0,53,1,25,0,3,6,32,7,6,0,0,15,0,0,8,2,5,0,0,18,0
8.735345,17.349845,0.0320191217153253,0.148005320226411,2.17347892062,4.68116942262,0,33,2,22,0,2,6,39,6,5,1,0,9,0,0,12,4,9,1,0,16,0
8.24789666666667,15.6978966666667,0.0891490353653061,0.234856578937962,2.13198125858,4.54768633207999,0,44,3,16,0,0,8,32,2,2,2,0,9,0,0,14,11,6,1,0,12,0
9.41021333333333,24.0637133333333,0.0429412329064808,0.127697446413569,2.35795875748,6.39447556947996,0,41,1,29,0,0,12,33,2,8,0,0,15,0,0,18,6,7,0,0,20,0
7.92809,14.47409,0.0908092848480443,0.22118212883991,2.05168799586,4.14356311686,0,47,1,41,0,0,6,44,3,9,0,0,11,0,0,6,6,10,0,0,15,0
8.37107333333334,15.8165733333333,0.0437531550719465,0.152299873590104,2.09868557767,4.28151737917001,0,45,3,38,0,1,10,41,3,7,0,0,9,0,0,13,4,9,0,0,9,0
7.95488333333333,15.4286333333333,0.0756842322160047,0.2029322430671,2.03724746728,4.34910828327995,0,43,1,32,0,2,8,41,5,9,0,0,17,0,0,13,6,8,1,0,19,0
8.29399166666667,15.7057416666667,0.058838715046132,0.224135148731283,2.1001159019,4.50761240839995,0,52,0,24,0,2,12,33,11,8,2,0,15,0,0,12,2,5,0,0,27,0
7.66208166666667,14.3660816666667,0.0813742991162629,0.175112592864022,1.96992641447,3.95884245046999,0,60,4,28,0,1,9,30,3,5,0,0,9,0,0,11,5,11,0,0,11,0
7.23131166666666,11.0365616666667,0.104716112052786,0.2938234719976,1.88981515967,3.37710946367,0,38,1,25,0,0,9,38,7,7,1,0,9,0,0,12,9,6,0,0,16,0
8.52696333333334,17.1794633333333,0.050243983757435,0.148453665650556,2.1468663358,4.63678361230001,0,36,2,25,0,1,5,35,5,6,0,0,12,0,0,15,12,7,0,0,16,0
8.39478166666667,17.0610316666667,0.0579286984788438,0.136614046547993,2.12435055296,4.56380135846,0,49,1,12,0,3,3,41,5,6,0,0,7,0,0,9,12,9,0,0,15,0
8.13383166666667,15.2950816666667,0.0717446982608544,0.166752749658116,2.07750061349,4.18707308549001,0,43,1,28,0,3,3,42,2,7,0,0,9,0,0,14,4,8,1,0,20,0
8.44692666666666,17.0624266666667,0.0538469235663274,0.128318534339332,2.13177133328,4.53609706328005,0,59,1,30,0,0,11,37,3,10,0,0,12,0,0,12,8,7,1,0,8,0
8.74147999999999,18.55273,0.0530451387544183,0.201613235519885,2.20494061689,5.22400494638995,0,41,2,28,0,2,5,34,7,7,0,0,11,0,0,17,7,7,0,0,16,0
9.10736833333333,22.5488683333333,0.0557749669011038,0.148109561505011,2.30138292808,6.08440371057995,0,36,3,20,0,3,7,37,8,10,0,0,13,0,0,16,3,5,0,0,22,0
8.23874333333332,15.7194933333333,0.0646357866768043,0.176555917055939,2.09422606855,4.33678700905004,0,42,6,32,0,3,14,30,7,7,1,0,14,0,0,6,7,5,0,0,14,0
8.389155,15.854155,0.0416455882982921,0.142158875449494,2.10033846102,4.25868327402005,0,36,1,22,0,0,11,39,4,8,0,0,13,0,0,13,4,9,0,0,13,0
8.04839166666666,16.6206416666667,0.063357063776601,0.142798925084533,2.04408637028,4.46673380377995,0,63,1,31,0,1,12,30,4,4,1,0,7,0,0,11,7,10,0,0,17,0
7.97122666666667,15.4347266666666,0.0711130109815926,0.122845316274751,2.03509706402,4.08687346652,0,62,4,36,0,0,13,40,7,11,0,0,16,0,0,11,7,4,0,0,13,0
8.85527166666668,19.9285216666666,0.0781345089403719,0.218284490958595,2.27163872153,5.69086764952994,0,61,4,29,0,3,9,35,10,8,0,0,12,0,0,13,5,9,0,0,21,0
8.30947,15.77022,0.081916467852505,0.230158114790757,2.13716788272,4.54985885022004,0,64,1,30,0,0,10,29,5,3,1,0,12,0,0,18,6,4,0,0,12,0
8.30195833333334,18.0777083333333,0.0519439747313207,0.104296720825681,2.09255597167,4.72297724016995,0,29,0,42,0,3,7,34,4,9,0,0,10,0,0,11,5,7,0,0,11,0
8.17948166666667,15.6704816666667,0.0575817913571238,0.138025379705934,2.06939043614,4.19626782614005,0,58,3,12,0,3,13,39,2,6,0,0,7,0,0,17,5,2,1,0,10,0
8.29631,16.18006,0.072431182634002,0.218808208953062,2.11998748038,4.62251368487998,0,46,4,27,0,1,12,27,7,5,1,0,15,0,0,11,8,7,1,0,7,0
8.66215166666666,19.6629016666667,0.0453848447670888,0.11053141335688,2.17397245571,5.16009672220995,0,47,3,37,0,3,13,27,3,8,0,0,15,0,0,14,4,8,1,0,18,0
8.268265,15.452765,0.0206128061116163,0.0672582162538547,2.04241106457,3.93490998956999,0,43,2,29,0,0,5,53,10,8,0,0,11,0,0,14,9,6,1,0,13,0
8.66997,17.30247,0.0476832783534203,0.166184500161017,2.17920712707,4.73448876956999,0,58,1,23,0,2,10,21,4,3,1,0,10,0,0,11,13,7,0,0,17,0
8.43719333333334,18.2574433333333,0.0614349970748152,0.16676284286994,2.14007808097,4.99806783096996,0,51,2,22,0,2,11,43,6,5,0,0,23,0,0,10,7,7,1,0,12,0
8.60638166666667,18.8298816666667,0.0721725931119288,0.154286874761211,2.19883520648,5.10500584148002,0,66,2,25,0,1,8,24,6,8,0,0,14,0,0,7,2,5,1,0,13,0
8.59764666666667,16.0761466666667,0.0435323046389887,0.212718942590042,2.155179131,4.56906376550003,0,50,2,32,0,5,9,23,4,7,1,0,14,0,0,13,4,6,0,0,11,0
8.063705,16.724705,0.0304682063636876,0.0196387840082534,2.00437583307,4.12877182856997,0,46,3,23,0,1,6,29,5,9,0,0,20,0,0,13,4,3,0,0,17,0
9.04129333333333,22.5507933333333,0.0272213533102203,0.018027737817259,2.2427258266,5.56140466060006,0,60,1,20,0,3,8,32,5,5,0,0,13,0,0,13,7,5,0,0,9,0
7.93673,13.54948,0.0998491285835981,0.299790579392993,2.06701178085,4.17045540885,0,45,5,32,0,1,13,31,8,6,0,0,14,0,0,8,6,4,1,0,11,0
8.399085,18.237085,0.0643871119023014,0.148976650786628,2.13462739797,4.92420341996995,0,52,1,18,0,3,17,34,6,6,0,0,11,0,0,15,4,6,0,0,21,0
8.13121166666667,14.6314616666667,0.106399046381566,0.331179093915152,2.1275466656,4.64988885709995,0,35,1,25,0,0,9,53,9,8,1,0,11,0,0,12,4,7,1,0,15,0
8.60971,18.48121,0.0572074954346206,0.177182527374253,2.17769575788,5.10125745887995,0,44,3,10,0,0,8,23,5,7,1,0,17,0,0,9,5,7,0,0,20,0
8.26261666666667,17.7841166666667,0.0596476559476232,0.126247534797993,2.09329895909,4.72074107908995,0,38,1,10,0,1,12,43,6,7,0,0,12,0,0,19,5,9,2,0,18,0
8.12405333333333,16.7155533333333,0.0823173481058236,0.136176875904362,2.09005643398,4.46992362448,0,36,1,33,0,1,7,41,8,11,0,0,7,0,0,9,7,6,1,0,16,0
8.07783333333333,15.6713333333333,0.061018219931398,0.111212356518899,2.0483567851,4.11461250310005,0,56,5,20,0,1,5,38,4,7,0,0,7,0,0,10,8,7,0,0,17,0
7.70967666666667,12.7284266666667,0.0800672378536589,0.22658553486555,1.98038290019,3.66087051119001,0,47,4,26,0,3,14,29,3,8,0,0,19,0,0,11,6,6,0,0,23,0
7.78539333333333,15.1353933333333,0.0666022852601846,0.0610240444906492,1.98160589845,3.83801013595,0,40,4,16,0,1,12,29,4,10,1,0,26,0,0,11,5,4,0,0,11,0
8.169955,15.644205,0.0845952897294274,0.223423424765043,2.1051728985,4.48719226200002,0,41,3,27,0,2,13,42,3,5,0,0,7,0,0,8,2,3,0,0,20,0
8.09596333333333,16.2604633333333,0.0587556649355736,0.154101664181254,2.04985997161,4.40777735610994,0,38,3,25,0,1,5,28,6,4,0,0,12,0,0,22,5,7,0,0,26,0
8.55455,16.64755,0.0386440290669551,0.197405607457111,2.13758660025,4.67123203724996,0,48,2,22,0,1,9,45,6,9,0,0,13,0,0,11,9,6,1,0,22,0
7.48645333333334,11.3369533333333,0.0966004399472056,0.260519943958788,1.94527839583,3.36108693582999,0,63,1,18,0,2,13,30,6,5,0,0,12,0,0,13,7,3,1,0,17,0
8.35367166666667,16.9101716666667,0.0386550692348418,0.1263576203191,2.08740659213,4.48911904462996,0,50,1,24,0,0,3,38,5,10,1,0,11,0,0,8,14,7,1,0,25,0
7.68429833333334,12.3407983333333,0.0392131039042849,0.0997323567042075,1.92083739502,3.21372511102,0,42,3,19,0,4,5,20,4,3,0,0,10,0,0,9,8,10,0,0,22,0
7.65044166666667,12.6551916666667,0.0688476417392235,0.182809820619624,1.95020750021,3.50894827571,0,55,1,34,0,0,9,33,7,6,0,0,12,0,0,11,8,9,1,0,9,0
8.168695,16.456945,0.0587634204532351,0.11041420761783,2.06828596449,4.31839987299002,0,53,1,11,0,1,9,41,6,6,0,0,14,0,0,11,8,7,1,0,11,0
8.14671166666667,15.8359616666667,0.0578237255367776,0.139832390210473,2.06143109063,4.24634221613001,0,38,1,14,0,2,17,49,4,11,0,0,13,0,0,25,3,6,1,0,15,0
8.39845666666667,17.6517066666667,0.0697288795188284,0.164414933988061,2.14216282496,4.82335754696,0,38,0,24,0,1,6,24,3,5,0,0,12,0,0,11,4,5,2,0,18,0
7.98237166666666,15.4453716666667,0.0834975916907038,0.200456075039537,2.05527861815,4.34486720764994,0,52,6,25,0,0,12,32,7,11,1,0,24,0,0,10,4,3,1,0,12,0
8.38596000000001,16.99046,0.06516786128538,0.136813915192273,2.13240924006,4.54560380256006,0,57,0,24,0,2,12,42,6,10,0,0,8,0,0,17,7,5,0,0,16,0
9.21056333333334,22.6565633333333,0.0172771528600706,0.0259585313244903,2.27041019704,5.61553529554,0,41,2,28,0,0,16,38,2,12,1,0,12,0,0,5,8,10,1,0,11,0
9.09829166666667,23.2015416666667,0.0454555151206554,0.100141808744748,2.28353747924,6.04377286123995,0,45,2,16,0,2,8,33,8,13,1,0,15,0,0,12,8,10,2,0,16,0
8.54204,18.32779,0.0767876460311753,0.215823422473519,2.18926740279,5.22277117478995,0,39,1,30,0,3,7,31,9,10,0,0,10,0,0,9,9,6,0,0,18,0
8.50308,18.30283,0.0625798068860545,0.181840075285896,2.15844187101,5.07092502500995,0,49,4,12,0,4,8,47,8,6,0,0,12,0,0,16,10,8,0,0,19,0
8.57605666666666,17.2348066666667,0.0650765538916056,0.198003556325254,2.18061388181,4.83840399431002,0,52,1,25,0,2,6,26,3,6,0,0,13,0,0,10,5,5,0,0,12,0
8.835445,18.962945,0.0465798967980566,0.195628379063612,2.21919649395,5.31312856694996,0,49,1,23,0,0,8,37,2,3,0,0,12,0,0,11,3,1,2,0,23,0
8.514205,18.615705,0.0522779038526021,0.103893511055593,2.14652636607,4.86213798356999,0,58,4,33,0,1,12,33,8,9,0,0,12,0,0,11,1,5,1,0,10,0
8.34998,18.59423,0.0544941078422826,0.0703456737410646,2.10820649748,4.74474027948006,0,51,2,24,0,0,13,31,2,11,1,0,12,0,0,8,9,7,1,0,14,0
8.17463,17.71688,0.0478808517940542,0.0235457666763606,2.05496876298,4.38450185748002,0,38,0,34,0,1,10,32,3,8,0,0,19,0,0,9,5,4,0,0,9,0
8.43697666666666,17.7014766666667,0.0564194577724078,0.176103502555728,2.13288970562,4.88182603711995,0,44,3,17,0,0,9,39,9,7,0,0,23,0,0,10,4,5,0,0,17,0
8.82508333333333,19.9140833333333,0.0476009753768956,0.167141933660767,2.21807548954,5.45320549803995,0,57,3,27,0,5,3,32,6,9,0,0,6,0,0,10,7,5,0,0,17,0
8.75108833333334,19.7353383333333,0.0748628324353276,0.213519514557045,2.23990080172,5.61286623171996,0,40,5,18,0,1,7,33,6,10,0,0,22,0,0,10,8,4,0,0,25,0
8.05553,15.00228,0.0747129247858873,0.175533743595615,2.06165729127,4.13554575777005,0,48,1,35,0,0,4,33,4,8,0,0,8,0,0,9,6,6,0,0,14,0
7.54390666666667,11.3749066666667,0.0884228123885728,0.269676611755349,1.94902332293,3.40113158092999,0,41,1,20,0,1,9,53,3,5,0,0,18,0,0,12,11,7,0,0,9,0
8.32049666666667,17.3994966666667,0.0708527413698411,0.191223529816438,2.1238929797,4.85748603619995,0,39,1,16,0,1,10,45,1,3,0,0,16,0,0,6,8,6,1,0,18,0
9.49531333333333,24.1483133333333,0.0559950291004745,0.173545446767247,2.39976451882,6.64623189831995,0,55,3,21,0,2,9,27,5,5,1,0,15,0,0,15,8,7,0,0,19,0
7.88917666666666,14.2571766666667,0.0817119188345724,0.25807353898665,2.02878408158,4.21735981657996,0,36,2,31,0,0,6,37,6,5,0,0,12,0,0,7,3,9,0,0,14,0
9.18667833333334,25.0476783333333,0.0288267362673285,0.0157352544800887,2.28111968101,6.16830897000996,0,46,1,19,0,0,10,33,7,13,0,0,10,0,0,15,8,7,0,0,16,0
8.46011166666667,17.0828616666667,0.0723838935002584,0.206399599983384,2.16177492395,4.82939101595007,0,70,1,33,0,1,7,35,7,7,0,0,9,0,0,10,7,10,0,0,12,0
9.33815833333334,22.8034083333333,0.0205684480430054,0.0756488593299874,2.30662960936,5.83981721986001,0,51,2,19,0,2,9,23,6,7,0,0,11,0,0,11,6,7,0,0,15,0
7.88067166666667,11.7016716666667,0.0710086369382676,0.354080160540589,2.01183558101,3.81140820401,0,44,3,26,0,1,13,43,7,7,0,0,11,0,0,13,9,8,0,0,19,0
8.48908833333334,17.7508383333333,0.0520838528759522,0.132874622604557,2.13992041804,4.73508714453998,0,44,2,19,0,2,12,43,4,6,0,0,9,0,0,16,6,4,2,0,17,0
9.49344333333334,24.1514433333333,-0.027302557657951,-0.0643440917963582,2.27755561948,5.67198261448005,0,43,1,31,0,0,11,36,2,4,0,0,17,0,0,18,8,8,0,0,11,0
7.971905,16.500905,0.0166303336521019,-0.119456977811714,1.96428347799,3.76130023448999,0,57,2,27,0,2,10,21,6,11,0,0,17,0,0,6,7,6,0,0,10,0
8.46010333333333,18.1681033333333,0.0420727059067967,0.0603418421558598,2.11868896219,4.60494297169005,0,58,1,19,0,1,17,46,4,7,0,0,12,0,0,22,8,5,2,0,11,0
9.17716666666667,22.9261666666667,0.0582589703171908,0.161669059693774,2.32284787193,6.25119571792995,0,41,3,10,0,1,11,32,6,6,0,0,8,0,0,12,6,8,0,0,19,0
8.429025,16.220275,0.0474162084173472,0.154278546308374,2.1182748477,4.3974821052,0,43,2,31,0,0,10,28,7,8,0,0,13,0,0,5,10,8,1,0,20,0
8.09664,15.52764,0.0315581897294993,0.0507026102717195,2.01396562674,3.91063280874,0,62,2,52,0,3,12,45,3,7,0,0,17,0,0,13,5,6,0,0,20,0
8.591065,19.908565,0.0412874170529996,0.0738982599336143,2.15038937328,5.09238696677995,0,49,3,26,0,1,16,40,2,5,1,0,19,0,0,11,4,8,1,0,21,0
8.17696666666667,15.6182166666667,0.0921474467953802,0.288437431933209,2.11807318199,4.75407075898994,0,53,2,14,0,2,9,32,8,11,0,0,10,0,0,14,7,11,0,0,21,0
8.70229833333334,20.8330483333333,0.0340604487010201,-0.00636526688064961,2.16809282941,5.06100841291006,0,55,1,21,0,1,5,37,2,4,0,0,11,0,0,11,8,8,1,0,16,0
8.14695333333333,15.5232033333333,0.0657542163811408,0.146565773537306,2.07245042392,4.18373427892005,0,54,1,9,0,2,7,24,4,11,0,0,14,0,0,14,6,8,0,0,12,0
8.11289666666667,14.6641466666667,0.0634640209319747,0.189984536633192,2.06061667709,4.08970721759004,0,49,3,30,0,1,10,35,5,5,0,0,12,0,0,14,7,10,1,0,21,0
8.64889166666666,20.2593916666667,0.0540965692480017,0.128605827820646,2.1831019037,5.38716372619996,0,37,1,20,0,2,14,26,1,4,0,0,17,0,0,8,7,6,0,0,19,0
8.202405,16.852155,0.0678660647326835,0.10939882904005,2.08952603331,4.41888091881003,0,42,0,18,0,1,7,41,3,6,0,0,12,0,0,13,8,5,1,0,17,0
7.467295,11.303545,0.0735510642875617,0.205870197804521,1.90959893619,3.19413829119,0,41,1,31,0,1,6,23,2,6,0,0,13,0,0,11,8,6,0,0,17,0
